customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod
9851-QXEEQ,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
6281-FKEWS,No,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check
8898-KASCD,No,No,DSL,No,No,Yes,Yes,No,No,One year,No,Mailed check
9242-TKFSV,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic)
9290-SHCMB,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
0743-HNPFG,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic)
2277-BKJKN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
9809-IMGCQ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
5208-HFSBT,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic)
5035-PGZXH,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
8695-WDYEA,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check
6543-JXSOO,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check
8016-ZMGMO,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic)
8605-ITULD,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
3254-YRILK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check
6416-YJTTB,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic)
2667-WYLWJ,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check
4472-VESGY,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic)
3195-TQDZX,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
3128-YOVTD,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic)
0529-ONKER,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check
1728-CXQBE,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check
7041-TXQJH,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic)
5014-GSOUQ,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
5724-BIDBU,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check
0481-SUMCB,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
1769-GRUIK,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
5240-IJOQT,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
8819-WFGGJ,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic)
7427-AUFPY,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
2811-POVEX,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic)
1092-GANHU,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check
7898-PDWQE,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic)
9972-EWRJS,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic)
9314-IJWSQ,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
0661-XEYAN,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check
5799-JRCZO,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
1921-KYSAY,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check
6198-RTPMF,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check
2924-KHUVI,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check
1925-GMVBW,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic)
7881-EVUAD,No,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check
6184-DYUOB,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check
9207-ZPANB,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check
5766-XQXMQ,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic)
9327-QSDED,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check
1656-DRSMG,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic)
3012-VFFMN,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
2984-AFWNC,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check
0640-YJTPY,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
8096-LOIST,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check
9764-REAFF,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
3703-VAVCL,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic)
7107-UBYKY,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
4881-GQJTW,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic)
8519-QJGJD,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check
7876-DNYAP,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
7905-NJMXS,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check
2882-WDTBA,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic)
2091-GPPIQ,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check
6326-MTTXK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check
5071-FBJFS,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check
2796-UUZZO,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic)
2429-AYKKO,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
9798-OPFEM,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check
0330-IVZHA,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check
3794-NFNCH,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check
5193-QLVZB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic)
7114-AEOZE,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
2886-KEFUM,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check
5522-NYKPB,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check
4237-RLAQD,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check
9957-YODKZ,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check
6518-KZXCB,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check
2245-ADZFJ,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic)
7776-QGYJC,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic)
9313-QOLTZ,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
9651-GTSAQ,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
3186-BAXNB,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check
4672-FOTSD,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check
0637-YLETY,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic)
9818-XQCUV,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
7338-ERIVA,No,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic)
1157-BQCUW,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
8259-NFJTV,No,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check
3223-DWFIO,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check
2660-EMUBI,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
6968-GMKPR,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check
4751-ERMAN,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic)
1436-ZMJAN,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic)
3292-PBZEJ,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
0799-DDIHE,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check
3070-FNFZQ,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
2812-SFXMJ,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
7675-OZCZG,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check
5014-WUQMG,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check
5312-TSZVC,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check
2003-CKLOR,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check
0993-OSGPT,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic)
9254-RBFON,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic)
1205-WNWPJ,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check
9391-EOYLI,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check
7108-DGVUU,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic)
2782-JEEBU,No,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check
5127-BZENZ,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic)
2720-FVBQP,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic)
9906-NHHVC,No,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic)
4522-XRWWI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic)
3766-EJLFL,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
5939-SXWHM,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
8152-UOBNY,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check
7351-KYHQH,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check
7643-RCHXS,Yes,No,No,No,No,No,No,No,No,Two year,No,Electronic check
8246-SHFGA,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic)
8387-MOJJT,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic)
0620-XEFWH,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
6485-QXWWE,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
2761-OCIAX,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check
7321-VGNKU,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
5327-CNLUQ,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic)
7552-KEYGT,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
5816-JMLGY,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
3068-OMWZA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check
2927-QRRQV,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check
6032-KRXXO,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
7459-RRWQZ,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic)
6265-SXWBU,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic)
7941-RCJOW,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic)
6374-NTQLP,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic)
4154-AQUGT,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic)
2387-KDZQY,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check
3584-WKTTW,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
3399-BMLVW,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic)
1971-DTCZB,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
3092-IGHWF,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check
3374-PZLXD,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
3813-DHBBB,No,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic)
2812-REYAT,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic)
6518-PPLMZ,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check
4939-KYYPY,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check
8017-LXHFA,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
5930-GBIWP,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic)
6022-KOUQO,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic)
6352-TWCAU,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
2361-UPSND,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check
6035-RIIOM,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic)
2929-QNSRW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check
1262-OPMFY,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic)
9504-DSHWM,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic)
5035-BVCXS,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check
6267-DCFFZ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check
3533-UVMOM,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic)
2439-LYPMQ,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
4248-QPAVC,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic)
1899-VXWXM,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic)
1478-VPOAD,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check
9995-HOTOH,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check
2988-PLAHS,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check
1371-OJCEK,Yes,Yes,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic)
4999-IEZLT,No,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic)
8883-ANODQ,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic)
4690-LLKUA,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
2351-RRBUE,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check
5980-BDHPY,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
1498-DQNRX,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
9469-WEJBT,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check
3331-HQDTW,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check
9490-DFPMD,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
2581-VKIRT,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check
5442-XSDCW,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic)
7426-WEIJX,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check
2851-MMUTZ,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check
3049-NDXFL,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check
8580-AECUZ,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
3307-TLCUD,No,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check
6625-FLENO,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
2967-MXRAV,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check
7963-GQRMY,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check
8189-HBVRW,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check
4163-KIUHY,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
1228-FZFRV,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic)
3500-NSDOA,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic)
1171-TYKUR,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check
3761-FLYZI,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic)
2058-DCJBE,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
5364-XYIRR,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
4829-AUOAX,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic)
1219-NNDDO,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
8388-DMKAE,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
4403-BWPAY,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic)
9659-QEQSY,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
5405-ZMYXQ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic)
5047-LHVLY,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check
1442-OKRJE,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
4737-AQCPU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic)
9158-VCTQB,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic)
2808-CHTDM,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check
6311-UEUME,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
0793-TWELN,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check
3283-WCWXT,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check
1060-ENTOF,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic)
0999-QXNSA,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check
5451-MHQOF,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Mailed check
4836-WNFNO,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
9225-BZLNZ,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check
0354-VXMJC,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
4422-QVIJA,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check
9365-SRSZE,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
6839-ITVZJ,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check
8332-OSJDW,Yes,Yes,No,No,No,No,No,No,No,One year,No,Mailed check
4735-BJKOU,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
0274-JKUJR,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check
5740-YHGTW,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic)
8917-SZTTJ,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
1696-MZVAU,No,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic)
7359-WWYJV,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic)
0375-HVGXO,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
4906-ZHGPK,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check
8593-WHYHV,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check
3795-GWTRD,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic)
1298-PHBTI,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check
6223-DHJGV,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check
6961-MJKBO,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
6097-EQISJ,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic)
4423-YLHDV,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic)
8158-WPEZG,No,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check
0107-YHINA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
4918-FYJNT,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check
0727-BNRLG,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic)
4854-CIDCF,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check
8640-SDGKB,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
3280-MRDOF,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic)
6435-SRWBJ,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check
9964-WBQDJ,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic)
6303-KFWSL,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check
1702-CCFNJ,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic)
8932-CZHRQ,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic)
0386-CWRGM,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
5515-RUGKN,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic)
0404-AHASP,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
7279-NMVJC,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic)
2081-VEYEH,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
6407-UTSLV,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic)
4116-TZAQJ,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic)
9060-HJJRW,No,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic)
2587-YNLES,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
7398-SKNQZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check
5935-FCCNB,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
1958-RNRKS,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check
5136-RGMZO,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check
8345-MVDYC,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic)
8226-BXGES,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic)
3877-JRJIP,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
8375-DKEBR,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
9705-IOVQQ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check
1015-OWJKI,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
7511-YMXVQ,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
2040-XBAVJ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic)
7551-JOHTI,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
8887-IPQNC,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check
8646-JCOMS,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic)
